contrast	Subtype	estimate	SE	df	z.ratio	p.value
Central Operculum - (Cerebellar Vermal Lobules VIII-X)	L	0.07841889023730456	0.014522204002893986	Inf	5.3999303564167835	1.429900078339097e-4
Central Operculum - Parahippocampus Gyrus	L	-0.03503850508357906	0.014522204002893987	Inf	-2.41275395088766	0.9999999999999987
Central Operculum - Superior Frontal Gyrus Medial Segment	L	0.01261658227896266	0.014522204002893986	Inf	0.8687787526224274	1
Central Operculum - Middle Frontal Gyrus	L	0.037868574352789716	0.014522204002893991	Inf	2.6076327219506936	0.9999999970628086
Central Operculum - Anterior Cingulate Gyrus	L	0.032519662142065	0.014522204002893986	Inf	2.239306246874406	1
Central Operculum - Precentral Gyrus	L	0.05547943984827411	0.014522204002893987	Inf	3.820318171898574	0.24866515441250847
Central Operculum - Orbital Part of the Inferior Frontal Gyrus	L	5.975835147814662e-4	0.014522204002893987	Inf	0.04114964330912716	1
Central Operculum - Temporal Pole	L	-0.035030517358089125	0.014522204002893987	Inf	-2.4122039155425883	0.9999999999999987
Central Operculum - Ventral DC	L	-0.003039455828673064	0.014522204002893982	Inf	-0.209297144432578	1
Central Operculum - Inferior Temporal Gyrus	L	-0.049320389430089026	0.014522204002893984	Inf	-3.3962055222651095	0.7691797078751754
Central Operculum - Opercular Part of the Inferior Frontal Gyrus	L	0.03205810388690056	0.014522204002893986	Inf	2.207523312612329	1
Central Operculum - Transverse Temporal Gyrus	L	-7.879068713916512e-4	0.014522204002893984	Inf	-0.054255323175093614	1
Central Operculum - Planum Temporale	L	-0.02089030456907952	0.014522204002893987	Inf	-1.4385078576858237	1
Central Operculum - Precuneus	L	0.015952133818556653	0.014522204002893984	Inf	1.0984650687580007	1
Central Operculum - Brainstem	L	0.0821284818778954	0.014522204002893986	Inf	5.655373100496924	3.33559294249941e-5
Central Operculum - Superior Parietal Lobule	L	0.052257345639493996	0.01452220400289398	Inf	3.59844453562835	0.49680646626284475
Central Operculum - Hippocampus	L	-0.043541028780053434	0.014522204002893984	Inf	-2.998238337057969	0.9970694573407368
Central Operculum - Occipital Fusiform Gyrus	L	-0.04423837705649794	0.014522204002893982	Inf	-3.0462577889473335	0.9930978812559399
Central Operculum - Supramarginal Gyrus	L	0.018563309397707062	0.014522204002893977	Inf	1.2782708047626776	1
Central Operculum - Gyrus Rectus	L	0.0059545634727676475	0.014522204002893982	Inf	0.4100316640353643	1
