Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,1,Precentral Gyrus Medial Segment,-0.3309949747014504,FL,AD
ADNI_AD,1,Precuneus,-0.8947982785028045,PL,AD
ADNI_AD,1,Putamen,-0.5823285052006159,BG,AD
ADNI_AD,1,Subcallosal Area,-0.7729348215519498,FL,AD
ADNI_AD,1,Superior Frontal Gyrus,-0.585235412378756,FL,AD
ADNI_AD,1,Superior Frontal Gyrus Medial Segment,-0.8146808879391065,FL,AD
ADNI_AD,1,Superior Occipital Gyrus,-0.3587269608819861,OL,AD
ADNI_AD,1,Superior Parietal Lobule,-0.4819471435625875,PL,AD
ADNI_AD,1,Superior Temporal Gyrus,-0.9227937788103818,TL-O,AD
ADNI_AD,1,Supplementary Motor Cortex,-0.6322404391811821,FL,AD
ADNI_AD,1,Supramarginal Gyrus,-0.4308553392084444,PL,AD
ADNI_AD,1,Temporal Pole,-0.4620191957689567,TL-O,AD
ADNI_AD,1,Thalamus Proper,-0.7828584192678927,SC,AD
ADNI_AD,1,Transverse Temporal Gyrus,-0.9017958906053883,TL-O,AD
ADNI_AD,1,Triangular Part of the Inferior Frontal Gyrus,-0.7325475700613068,FL,AD
ADNI_AD,1,Ventral DC,-0.30228516455168203,SC,AD
ADNI_AD,2,Accumbens,0.8321179315319018,BG,AD
ADNI_AD,2,Amygdala,-0.4459410404190657,TL-M,AD
ADNI_AD,2,Angular Gyrus,0.21766288131166503,PL,AD
ADNI_AD,2,Anterior Cingulate Gyrus,1.0561086480737667,Cing,AD
ADNI_AD,2,Anterior Insula,0.43257411158640235,Ins,AD
ADNI_AD,2,Anterior Orbital Gyrus,0.5288951724256111,FL,AD
ADNI_AD,2,Basal Forebrain,0.19557578869326916,SC,AD
ADNI_AD,2,Calcarine Cortex,-0.17560785534300682,OL,AD
ADNI_AD,2,Caudate,0.8277706396762421,BG,AD
ADNI_AD,2,Central Operculum,0.7023959193607902,FL,AD
ADNI_AD,2,Cerebral White Matter,-0.22614956376986037,SC,AD
ADNI_AD,2,Cuneus,0.16508502952446782,OL,AD
ADNI_AD,2,Entorhinal Area,-0.23133055664308338,TL-M,AD
ADNI_AD,2,Frontal Operculum,0.6168979987226162,FL,AD
ADNI_AD,2,Frontal Pole,0.8092740931496645,FL,AD
